,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,8,US,1587107617,89,42.6,-73.97,32.0,7.94
1,Vaini,27,TO,1587107620,78,-21.2,-175.2,77.0,15.08
2,Cape Town,20,ZA,1587107337,93,-33.93,18.42,64.99,2.24
3,São João da Barra,80,BR,1587107623,89,-21.64,-41.05,74.43,12.53
4,Campo Formoso,73,BR,1587107625,79,-10.51,-40.32,70.21,6.35
5,Bluff,81,NZ,1587107626,93,-46.6,168.33,48.0,3.0
6,Chui,3,UY,1587107410,91,-33.7,-53.46,60.1,6.24
7,Pacific Grove,90,US,1587107523,93,36.62,-121.92,55.0,4.7
8,Mataura,85,NZ,1587107630,93,-46.19,168.86,48.0,3.0
9,Rikitea,3,PF,1587107631,75,-23.12,-134.97,76.33,9.73
10,Mount Isa,36,AU,1587107452,14,-20.73,139.5,96.8,8.05
11,Atuona,75,PF,1587107634,76,-9.8,-139.03,82.67,13.58
12,Ushuaia,75,AR,1587107636,54,-54.8,-68.3,55.4,20.8
13,Vila Franca do Campo,20,PT,1587107637,82,37.72,-25.43,55.4,9.17
14,Villa Bruzual,67,VE,1587107639,61,9.33,-69.12,78.12,6.35
15,Port Alfred,4,ZA,1587107342,63,-33.59,26.89,68.0,1.99
16,Prince Rupert,100,CA,1587107538,89,54.32,-130.32,46.51,3.18
17,Tuktoyaktuk,98,CA,1587107348,96,69.45,-133.04,12.83,5.57
18,Lys'va,63,RU,1587107644,67,58.11,57.81,41.34,10.65
19,Ribeira Grande,45,PT,1587107645,80,38.52,-28.7,58.73,7.63
20,Soyo,100,AO,1587107646,85,-6.13,12.37,79.81,4.41
21,Hilo,17,US,1587107379,95,19.73,-155.09,71.01,1.99
22,Poltavka,55,RU,1587107649,29,54.37,71.76,62.26,18.03
23,Camocim,94,BR,1587107388,90,-2.9,-40.84,76.15,4.52
24,Puerto Ayora,23,EC,1587107652,97,-0.74,-90.35,75.99,1.01
25,Nikolskoye,20,RU,1587107653,64,59.7,30.79,39.2,22.37
26,Severo-Kuril'sk,86,RU,1587107654,94,50.68,156.12,31.21,14.88
27,Iqaluit,90,CA,1587107655,77,63.75,-68.51,5.0,9.17
28,Bredasdorp,35,ZA,1587107657,68,-34.53,20.04,64.4,3.36
29,Acapulco de Juárez,29,MX,1587107462,50,16.86,-99.89,79.21,2.53
30,Valparaíso,13,CL,1587107660,93,-33.04,-71.63,51.8,4.7
31,New Norfolk,75,AU,1587107661,46,-42.78,147.06,53.6,19.46
32,Christchurch,90,NZ,1587107469,87,-43.53,172.63,55.0,12.75
33,Cardoso,40,BR,1587107664,65,-20.08,-49.91,63.64,4.56
34,Kavieng,100,PG,1587107665,80,-2.57,150.8,78.82,13.04
35,Sioux City,90,US,1587107549,81,42.5,-96.4,33.01,8.05
36,Rijssen,69,NL,1587107667,81,52.31,6.52,48.0,10.29
37,Hong Kong,20,HK,1587107669,57,22.29,114.16,82.0,8.05
38,Fortuna,90,US,1587107670,93,40.6,-124.16,51.01,2.44
39,Bredy,88,RU,1587107671,57,52.42,60.34,45.16,9.1
40,Necochea,44,AR,1587107672,82,-38.55,-58.74,51.01,7.0
41,Sørland,40,NO,1587107674,59,67.67,12.69,37.4,13.87
42,Jamestown,40,US,1587107675,79,42.1,-79.24,35.01,4.7
43,Hobart,75,AU,1587107536,46,-42.88,147.33,53.6,19.46
44,Norman Wells,75,CA,1587107677,88,65.28,-126.83,33.8,20.8
45,Airai,25,TL,1587107424,68,-8.93,125.41,69.08,3.58
46,Hermanus,46,ZA,1587107680,94,-34.42,19.23,60.01,1.3
47,Half Moon Bay,90,US,1587107681,87,37.46,-122.43,57.0,5.61
48,George Town,20,MY,1587107682,74,5.41,100.34,87.8,5.82
49,Interlaken,90,US,1587107684,87,36.95,-121.73,57.0,3.65
50,Sokolo,59,ML,1587107685,30,14.73,-6.12,85.95,11.1
51,Lompoc,90,US,1587107686,93,34.64,-120.46,57.2,4.7
52,Avarua,72,CK,1587107687,63,-21.21,-159.78,78.49,7.49
53,Lebu,67,CL,1587107689,74,-37.62,-73.65,56.77,8.52
54,Busselton,71,AU,1587107691,25,-33.65,115.33,78.01,7.65
